timestamp,symbol,action,shares,price,value,rsi,z_score,signal_strength,portfolio_value_before,portfolio_value_after
2025-02-28,VTI,BUY,354,286.63,101467.02,25.644122383252693,-2.5984702830034325,34.69645806352894,1000000.0,898532.98
2025-03-04,XLK,BUY,371,217.94,80855.74,28.789716226048952,-2.2729773922957386,25.15034147085948,898532.98,817677.24
2025-03-05,XLI,BUY,609,130.98,79766.81999999999,26.680384087791424,-2.467483762096065,31.314069445377804,817677.24,737910.42
2025-03-05,DIA,BUY,162,422.85,68501.7,27.85008976660687,-2.319045054328665,27.49027101007291,737910.42,669408.7200000001
2025-04-04,EFA,BUY,784,78.96,61904.63999999999,27.947019867549614,-2.297993324495666,27.08589350985743,669408.7200000001,607504.0800000001
2025-04-07,VWO,BUY,2098,42.01,88136.98,11.824324324324365,-3.455796596375889,70.90931731511016,607504.0800000001,519367.1000000001
2025-04-07,EEM,BUY,1862,40.2,74852.40000000001,11.707317073170728,-3.352005351784273,70.10541937150127,519367.1000000001,444514.70000000007
2025-04-07,VEA,BUY,1375,46.54,63992.5,12.632978723404221,-3.527472412964819,70.00876668283975,444514.70000000007,380522.20000000007
2025-05-13,XLI,SELL,609,139.88,85186.92,93.3888888888889,2.0897897850796183,67.67567562857398,380522.20000000007,465709.12000000005
2025-05-13,DIA,SELL,162,422.54,68451.48000000001,86.04339074032654,2.077041929390463,52.85720077455772,465709.12000000005,534160.6000000001
2025-05-14,XLK,SELL,371,232.24,86161.04000000001,91.47044690052863,2.009412542486089,63.03501922591815,534160.6000000001,620321.6400000001
2025-05-28,VEA,SELL,1375,55.36,76120.0,76.32241813602006,2.0364858880734933,33.00969515277505,620321.6400000001,696441.6400000001
2025-05-28,EFA,SELL,784,87.8,68835.2,75.08038585209002,2.010998108181578,30.270752785995818,696441.6400000001,765276.8400000001
2025-06-12,EEM,SELL,1862,47.34,88147.08,72.02216066481999,2.338773523247419,27.432056562114173,765276.8400000001,853423.92
2025-06-13,VWO,SELL,2098,48.98,102760.04,71.46892655367239,2.006960651160099,23.00745961894577,853423.92,956183.9600000001
2025-07-04,VTI,SELL,354,308.03,109042.62,72.9279628195197,2.1160930679369865,27.01685631840928,956183.9600000001,1065226.58
